id,gender,age,emotion,race
1,男性,28,中性,亚洲人
2,男性,36,恐惧,白人
3,男性,28,恐惧,亚洲人
4,男性,23,悲伤,亚洲人
5,男性,30,中性,亚洲人
6,男性,34,中性,亚洲人
7,男性,24,中性,亚洲人
8,男性,31,中性,亚洲人
9,男性,29,中性,亚洲人
10,男性,26,中性,亚洲人
11,男性,25,中性,亚洲人
12,未知,33,高兴,亚洲人
13,男性,31,中性,亚洲人
14,男性,29,中性,亚洲人
15,男性,25,中性,亚洲人
16,男性,34,悲伤,亚洲人
17,男性,26,生气,亚洲人
18,女性,26,高兴,亚洲人
19,男性,32,中性,亚洲人
20,男性,33,生气,亚洲人
21,未知,40,中性,亚洲人
22,男性,28,高兴,亚洲人
23,未知,36,高兴,亚洲人
24,男性,33,悲伤,亚洲人
25,男性,31,中性,亚洲人
26,男性,24,高兴,亚洲人
27,男性,28,中性,亚洲人
28,男性,30,中性,亚洲人
29,女性,32,高兴,亚洲人
30,男性,33,高兴,亚洲人
31,女性,33,高兴,亚洲人
32,女性,30,高兴,亚洲人
33,男性,24,中性,亚洲人
34,男性,26,高兴,亚洲人
35,男性,27,中性,亚洲人
36,男性,31,生气,亚洲人
37,男性,26,高兴,亚洲人
38,男性,28,恐惧,亚洲人
39,男性,31,恐惧,亚洲人
40,男性,26,高兴,亚洲人
41,男性,29,悲伤,亚洲人
42,男性,28,恐惧,亚洲人
43,女性,30,高兴,亚洲人
44,男性,34,中性,亚洲人
45,女性,33,中性,亚洲人
46,未知,33,高兴,亚洲人
47,男性,27,悲伤,亚洲人
48,未知,37,高兴,亚洲人
49,女性,31,中性,亚洲人
50,男性,27,中性,亚洲人
51,女性,29,中性,亚洲人
52,女性,44,恐惧,亚洲人
53,女性,28,中性,亚洲人
